userId,songId,Q1,Q2,Q3,Extraversion,sociability,assertiveness,energy_level,Agreeableness,compassion,respectfulness,trust,Conscientiousness,organization,productiveness,responsibility,Neuroticism,anxiety,depression,emotional_volatility,Openness,intellectual_curiosity,aesthetic_sensitivity,creative_imagination,rms,lowenergy,eventdensity,pulseclarity,attacktime_mean,attacktime_std,attacktime_slope,attacktime_periodentropy,attackslope_mean,attackslope_std,attackslope_slope,attackslope_periodentropy,zerocross,brightness,centroid,spread,skewness,kurtosis,flatness,mirentropy,inharmonicity,activity,valence,tension,happy,sad,tender,anger,fear
16,30951,1,1,1,3,2.75,3.25,3,3.333333333,3.5,3.5,3,2.833333333,2.25,2.75,3.5,3.333333333,3.25,3.75,3,2.833333333,2.75,2.5,3.25,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
34,30951,3,3,3,2.166666667,1.75,2.5,2.25,3.833333333,4,4,3.5,3.416666667,3.5,3.25,3.5,3.25,4,3.25,2.5,3.25,4.5,2.5,2.75,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
78,30951,4,3,2,2.583333333,2.5,3.25,2,2.5,3.25,2.5,1.75,2.25,2.25,1.5,3,4.166666667,4.25,4.25,4,4.416666667,4.75,4.75,3.75,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
236,30951,3,2,2,3,3.25,2.75,3,3.166666667,3.25,3.75,2.5,4.25,4.75,4,4,2.916666667,3.5,2.5,2.75,3.583333333,4,3,3.75,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
238,30951,1,1,1,1.833333333,1.5,2.25,1.75,4.416666667,4.75,4.5,4,3.833333333,4,3,4.5,3.916666667,5,4.5,2.25,4.416666667,5,5,3.25,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
239,30951,2,1,1,3.833333333,3.75,4.25,3.5,2.583333333,2.75,3,2,3.833333333,3.75,3.75,4,2.333333333,2.75,2.25,2,4.083333333,5,3,4.25,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
285,30951,2,1,1,3.166666667,3,2.75,3.75,3.25,3.25,3.25,3.25,3.916666667,4.5,3.75,3.5,1.833333333,1.75,2,1.75,4.333333333,5,3,5,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
289,30951,2,4,2,3.25,3.5,3,3.25,2.75,3,2.75,2.5,3.25,3.5,3.25,3,3.333333333,3.25,3.75,3,4.583333333,4.5,5,4.25,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
305,30951,3,3,3,2.166666667,1.5,3.25,1.75,4.25,4.75,4,4,3.5,3.5,3.25,3.75,3.916666667,4.75,3.75,3.25,3.916666667,4.25,3.75,3.75,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
306,30951,1,1,1,4,4.75,4,3.25,3.083333333,2.75,3,3.5,2.916666667,3.5,2.5,2.75,2.833333333,3,3,2.5,3.833333333,3.75,3.25,4.5,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
313,30951,2,1,1,2.75,2.5,3.25,2.5,4.25,4.25,4.75,3.75,3.166666667,3.5,3.25,2.75,2.333333333,2.25,2.25,2.5,3.083333333,3.5,2.25,3.5,0.2204469828,0.5037936267,1.717667436,0.6091152414,0.05774881517,0.02138668834,0.05381147297,0.9676231206,1096333.381,923119.6578,-0.1241634051,0.9698342577,2388.406407,0.7065608614,4788.990416,0.422859456,2373278366383,8.47511E+16,0.369676221,0.921490583,0.4592170643,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173001,6.44563803,1.236303633
